Count,Redshift (r),Magnitude (m),R^2,rm,m^2
1,1.56,21.38,2.4336,33.3528,457.1044
3,1.56,21.13,2.4336,32.9628,446.4769
3,1.56,20.88,2.4336,32.5728,435.9744
1,1.56,20.63,2.4336,32.1828,425.5969
1,1.56,20.38,2.4336,31.7928,415.3444
3,1.56,20.13,2.4336,31.4028,405.2169
2,1.56,19.88,2.4336,31.0128,395.2144
4,1.56,19.63,2.4336,30.6228,385.3369
1,1.56,19.38,2.4336,30.2328,375.5844
1,1.56,19.13,2.4336,29.8428,365.9569
1,1.56,18.88,2.4336,29.4528,356.4544
0,1.56,18.63,2.4336,29.0628,347.0769
0,1.56,18.38,2.4336,28.6728,337.8244
0,1.56,18.13,2.4336,28.2828,328.6969
0,1.56,17.88,2.4336,27.8928,319.6944
0,1.56,17.63,2.4336,27.5028,310.8169
0,1.56,17.38,2.4336,27.1128,302.0644
0,1.56,17.13,2.4336,26.7228,293.4369
6,-1.44,21.38,2.0736,-30.7872,457.1044
2,-1.44,21.13,2.0736,-30.4272,446.4769
2,-1.44,20.88,2.0736,-30.0672,435.9744
1,-1.44,20.63,2.0736,-29.7072,425.5969
3,-1.44,20.38,2.0736,-29.3472,415.3444
2,-1.44,20.13,2.0736,-28.9872,405.2169
0,-1.44,19.88,2.0736,-28.6272,395.2144
1,-1.44,19.63,2.0736,-28.2672,385.3369
0,-1.44,19.38,2.0736,-27.9072,375.5844
1,-1.44,19.13,2.0736,-27.5472,365.9569
0,-1.44,18.88,2.0736,-27.1872,356.4544
1,-1.44,18.63,2.0736,-26.8272,347.0769
0,-1.44,18.38,2.0736,-26.4672,337.8244
3,-1.44,18.13,2.0736,-26.1072,328.6969
0,-1.44,17.88,2.0736,-25.7472,319.6944
1,-1.44,17.63,2.0736,-25.3872,310.8169
1,-1.44,17.38,2.0736,-25.0272,302.0644
1,-1.44,17.13,2.0736,-24.6672,293.4369
6,-1.31,21.38,1.7161,-28.0078,457.1044
3,-1.31,21.13,1.7161,-27.6803,446.4769
3,-1.31,20.88,1.7161,-27.3528,435.9744
4,-1.31,20.63,1.7161,-27.0253,425.5969
2,-1.31,20.38,1.7161,-26.6978,415.3444
4,-1.31,20.13,1.7161,-26.3703,405.2169
2,-1.31,19.88,1.7161,-26.0428,395.2144
1,-1.31,19.63,1.7161,-25.7153,385.3369
0,-1.31,19.38,1.7161,-25.3878,375.5844
0,-1.31,19.13,1.7161,-25.0603,365.9569
0,-1.31,18.88,1.7161,-24.7328,356.4544
0,-1.31,18.63,1.7161,-24.4053,347.0769
3,-1.31,18.38,1.7161,-24.0778,337.8244
1,-1.31,18.13,1.7161,-23.7503,328.6969
1,-1.31,17.88,1.7161,-23.4228,319.6944
0,-1.31,17.63,1.7161,-23.0953,310.8169
0,-1.31,17.38,1.7161,-22.7678,302.0644
0,-1.31,17.13,1.7161,-22.4403,293.4369
3,-1.19,21.38,1.4161,-25.4422,457.1044
4,-1.19,21.13,1.4161,-25.1447,446.4769
3,-1.19,20.88,1.4161,-24.8472,435.9744
3,-1.19,20.63,1.4161,-24.5497,425.5969
3,-1.19,20.38,1.4161,-24.2522,415.3444
5,-1.19,20.13,1.4161,-23.9547,405.2169
4,-1.19,19.88,1.4161,-23.6572,395.2144
4,-1.19,19.63,1.4161,-23.3597,385.3369
2,-1.19,19.38,1.4161,-23.0622,375.5844
2,-1.19,19.13,1.4161,-22.7647,365.9569
0,-1.19,18.88,1.4161,-22.4672,356.4544
1,-1.19,18.63,1.4161,-22.1697,347.0769
1,-1.19,18.38,1.4161,-21.8722,337.8244
1,-1.19,18.13,1.4161,-21.5747,328.6969
1,-1.19,17.88,1.4161,-21.2772,319.6944
0,-1.19,17.63,1.4161,-20.9797,310.8169
0,-1.19,17.38,1.4161,-20.6822,302.0644
0,-1.19,17.13,1.4161,-20.3847,293.4369
1,-1.06,21.38,1.1236,-22.6628,457.1044
0,-1.06,21.13,1.1236,-22.3978,446.4769
3,-1.06,20.88,1.1236,-22.1328,435.9744
4,-1.06,20.63,1.1236,-21.8678,425.5969
3,-1.06,20.38,1.1236,-21.6028,415.3444
3,-1.06,20.13,1.1236,-21.3378,405.2169
5,-1.06,19.88,1.1236,-21.0728,395.2144
7,-1.06,19.63,1.1236,-20.8078,385.3369
2,-1.06,19.38,1.1236,-20.5428,375.5844
2,-1.06,19.13,1.1236,-20.2778,365.9569
1,-1.06,18.88,1.1236,-20.0128,356.4544
1,-1.06,18.63,1.1236,-19.7478,347.0769
1,-1.06,18.38,1.1236,-19.4828,337.8244
0,-1.06,18.13,1.1236,-19.2178,328.6969
1,-1.06,17.88,1.1236,-18.9528,319.6944
0,-1.06,17.63,1.1236,-18.6878,310.8169
0,-1.06,17.38,1.1236,-18.4228,302.0644
0,-1.06,17.13,1.1236,-18.1578,293.4369
4,-0.94,21.38,0.8836,-20.0972,457.1044
5,-0.94,21.13,0.8836,-19.8622,446.4769
2,-0.94,20.88,0.8836,-19.6272,435.9744
3,-0.94,20.63,0.8836,-19.3922,425.5969
4,-0.94,20.38,0.8836,-19.1572,415.3444
6,-0.94,20.13,0.8836,-18.9222,405.2169
4,-0.94,19.88,0.8836,-18.6872,395.2144
3,-0.94,19.63,0.8836,-18.4522,385.3369
2,-0.94,19.38,0.8836,-18.2172,375.5844
2,-0.94,19.13,0.8836,-17.9822,365.9569
1,-0.94,18.88,0.8836,-17.7472,356.4544
0,-0.94,18.63,0.8836,-17.5122,347.0769
0,-0.94,18.38,0.8836,-17.2772,337.8244
0,-0.94,18.13,0.8836,-17.0422,328.6969
0,-0.94,17.88,0.8836,-16.8072,319.6944
0,-0.94,17.63,0.8836,-16.5722,310.8169
0,-0.94,17.38,0.8836,-16.3372,302.0644
0,-0.94,17.13,0.8836,-16.1022,293.4369
6,-0.81,21.38,0.6561,-17.3178,457.1044
7,-0.81,21.13,0.6561,-17.1153,446.4769
9,-0.81,20.88,0.6561,-16.9128,435.9744
2,-0.81,20.63,0.6561,-16.7103,425.5969
5,-0.81,20.38,0.6561,-16.5078,415.3444
4,-0.81,20.13,0.6561,-16.3053,405.2169
2,-0.81,19.88,0.6561,-16.1028,395.2144
3,-0.81,19.63,0.6561,-15.9003,385.3369
1,-0.81,19.38,0.6561,-15.6978,375.5844
0,-0.81,19.13,0.6561,-15.4953,365.9569
0,-0.81,18.88,0.6561,-15.2928,356.4544
0,-0.81,18.63,0.6561,-15.0903,347.0769
0,-0.81,18.38,0.6561,-14.8878,337.8244
0,-0.81,18.13,0.6561,-14.6853,328.6969
0,-0.81,17.88,0.6561,-14.4828,319.6944
0,-0.81,17.63,0.6561,-14.2803,310.8169
0,-0.81,17.38,0.6561,-14.0778,302.0644
0,-0.81,17.13,0.6561,-13.8753,293.4369
8,-0.69,21.38,0.4761,-14.7522,457.1044
6,-0.69,21.13,0.4761,-14.5797,446.4769
9,-0.69,20.88,0.4761,-14.4072,435.9744
3,-0.69,20.63,0.4761,-14.2347,425.5969
7,-0.69,20.38,0.4761,-14.0622,415.3444
3,-0.69,20.13,0.4761,-13.8897,405.2169
3,-0.69,19.88,0.4761,-13.7172,395.2144
1,-0.69,19.63,0.4761,-13.5447,385.3369
2,-0.69,19.38,0.4761,-13.3722,375.5844
0,-0.69,19.13,0.4761,-13.1997,365.9569
0,-0.69,18.88,0.4761,-13.0272,356.4544
0,-0.69,18.63,0.4761,-12.8547,347.0769
0,-0.69,18.38,0.4761,-12.6822,337.8244
0,-0.69,18.13,0.4761,-12.5097,328.6969
0,-0.69,17.88,0.4761,-12.3372,319.6944
0,-0.69,17.63,0.4761,-12.1647,310.8169
0,-0.69,17.38,0.4761,-11.9922,302.0644
0,-0.69,17.13,0.4761,-11.8197,293.4369
8,-0.56,21.38,0.3136,-11.9728,457.1044
6,-0.56,21.13,0.3136,-11.8328,446.4769
6,-0.56,20.88,0.3136,-11.6928,435.9744
8,-0.56,20.63,0.3136,-11.5528,425.5969
6,-0.56,20.38,0.3136,-11.4128,415.3444
2,-0.56,20.13,0.3136,-11.2728,405.2169
3,-0.56,19.88,0.3136,-11.1328,395.2144
2,-0.56,19.63,0.3136,-10.9928,385.3369
0,-0.56,19.38,0.3136,-10.8528,375.5844
0,-0.56,19.13,0.3136,-10.7128,365.9569
0,-0.56,18.88,0.3136,-10.5728,356.4544
0,-0.56,18.63,0.3136,-10.4328,347.0769
0,-0.56,18.38,0.3136,-10.2928,337.8244
0,-0.56,18.13,0.3136,-10.1528,328.6969
0,-0.56,17.88,0.3136,-10.0128,319.6944
0,-0.56,17.63,0.3136,-9.8728,310.8169
0,-0.56,17.38,0.3136,-9.7328,302.0644
0,-0.56,17.13,0.3136,-9.5928,293.4369
20,-0.44,21.38,0.1936,-9.4072,457.1044
7,-0.44,21.13,0.1936,-9.2972,446.4769
3,-0.44,20.88,0.1936,-9.1872,435.9744
9,-0.44,20.63,0.1936,-9.0772,425.5969
7,-0.44,20.38,0.1936,-8.9672,415.3444
2,-0.44,20.13,0.1936,-8.8572,405.2169
0,-0.44,19.88,0.1936,-8.7472,395.2144
0,-0.44,19.63,0.1936,-8.6372,385.3369
0,-0.44,19.38,0.1936,-8.5272,375.5844
0,-0.44,19.13,0.1936,-8.4172,365.9569
0,-0.44,18.88,0.1936,-8.3072,356.4544
0,-0.44,18.63,0.1936,-8.1972,347.0769
0,-0.44,18.38,0.1936,-8.0872,337.8244
0,-0.44,18.13,0.1936,-7.9772,328.6969
0,-0.44,17.88,0.1936,-7.8672,319.6944
0,-0.44,17.63,0.1936,-7.7572,310.8169
0,-0.44,17.38,0.1936,-7.6472,302.0644
0,-0.44,17.13,0.1936,-7.5372,293.4369
10,-0.31,21.38,0.0961,-6.6278,457.1044
5,-0.31,21.13,0.0961,-6.5503,446.4769
5,-0.31,20.88,0.0961,-6.4728,435.9744
4,-0.31,20.63,0.0961,-6.3953,425.5969
3,-0.31,20.38,0.0961,-6.3178,415.3444
5,-0.31,20.13,0.0961,-6.2403,405.2169
1,-0.31,19.88,0.0961,-6.1628,395.2144
1,-0.31,19.63,0.0961,-6.0853,385.3369
0,-0.31,19.38,0.0961,-6.0078,375.5844
1,-0.31,19.13,0.0961,-5.9303,365.9569
1,-0.31,18.88,0.0961,-5.8528,356.4544
0,-0.31,18.63,0.0961,-5.7753,347.0769
0,-0.31,18.38,0.0961,-5.6978,337.8244
0,-0.31,18.13,0.0961,-5.6203,328.6969
0,-0.31,17.88,0.0961,-5.5428,319.6944
0,-0.31,17.63,0.0961,-5.4653,310.8169
0,-0.31,17.38,0.0961,-5.3878,302.0644
0,-0.31,17.13,0.0961,-5.3103,293.4369
7,-0.19,21.38,0.0361,-4.0622,457.1044
7,-0.19,21.13,0.0361,-4.0147,446.4769
4,-0.19,20.88,0.0361,-3.9672,435.9744
3,-0.19,20.63,0.0361,-3.9197,425.5969
4,-0.19,20.38,0.0361,-3.8722,415.3444
1,-0.19,20.13,0.0361,-3.8247,405.2169
2,-0.19,19.88,0.0361,-3.7772,395.2144
1,-0.19,19.63,0.0361,-3.7297,385.3369
1,-0.19,19.38,0.0361,-3.6822,375.5844
0,-0.19,19.13,0.0361,-3.6347,365.9569
1,-0.19,18.88,0.0361,-3.5872,356.4544
0,-0.19,18.63,0.0361,-3.5397,347.0769
0,-0.19,18.38,0.0361,-3.4922,337.8244
0,-0.19,18.13,0.0361,-3.4447,328.6969
0,-0.19,17.88,0.0361,-3.3972,319.6944
0,-0.19,17.63,0.0361,-3.3497,310.8169
0,-0.19,17.38,0.0361,-3.3022,302.0644
0,-0.19,17.13,0.0361,-3.2547,293.4369
16,-0.06,21.38,0.0036,-1.2828,457.1044
6,-0.06,21.13,0.0036,-1.2678,446.4769
5,-0.06,20.88,0.0036,-1.2528,435.9744
4,-0.06,20.63,0.0036,-1.2378,425.5969
0,-0.06,20.38,0.0036,-1.2228,415.3444
0,-0.06,20.13,0.0036,-1.2078,405.2169
0,-0.06,19.88,0.0036,-1.1928,395.2144
0,-0.06,19.63,0.0036,-1.1778,385.3369
2,-0.06,19.38,0.0036,-1.1628,375.5844
0,-0.06,19.13,0.0036,-1.1478,365.9569
0,-0.06,18.88,0.0036,-1.1328,356.4544
0,-0.06,18.63,0.0036,-1.1178,347.0769
0,-0.06,18.38,0.0036,-1.1028,337.8244
0,-0.06,18.13,0.0036,-1.0878,328.6969
0,-0.06,17.88,0.0036,-1.0728,319.6944
0,-0.06,17.63,0.0036,-1.0578,310.8169
0,-0.06,17.38,0.0036,-1.0428,302.0644
1,-0.06,17.13,0.0036,-1.0278,293.4369
9,0.06,21.38,0.0036,1.2828,457.1044
8,0.06,21.13,0.0036,1.2678,446.4769
2,0.06,20.88,0.0036,1.2528,435.9744
1,0.06,20.63,0.0036,1.2378,425.5969
0,0.06,20.38,0.0036,1.2228,415.3444
0,0.06,20.13,0.0036,1.2078,405.2169
0,0.06,19.88,0.0036,1.1928,395.2144
0,0.06,19.63,0.0036,1.1778,385.3369
0,0.06,19.38,0.0036,1.1628,375.5844
0,0.06,19.13,0.0036,1.1478,365.9569
0,0.06,18.88,0.0036,1.1328,356.4544
0,0.06,18.63,0.0036,1.1178,347.0769
0,0.06,18.38,0.0036,1.1028,337.8244
0,0.06,18.13,0.0036,1.0878,328.6969
0,0.06,17.88,0.0036,1.0728,319.6944
0,0.06,17.63,0.0036,1.0578,310.8169
0,0.06,17.38,0.0036,1.0428,302.0644
0,0.06,17.13,0.0036,1.0278,293.4369
4,0.19,21.38,0.0361,4.0622,457.1044
5,0.19,21.13,0.0361,4.0147,446.4769
1,0.19,20.88,0.0361,3.9672,435.9744
1,0.19,20.63,0.0361,3.9197,425.5969
1,0.19,20.38,0.0361,3.8722,415.3444
0,0.19,20.13,0.0361,3.8247,405.2169
1,0.19,19.88,0.0361,3.7772,395.2144
0,0.19,19.63,0.0361,3.7297,385.3369
0,0.19,19.38,0.0361,3.6822,375.5844
0,0.19,19.13,0.0361,3.6347,365.9569
0,0.19,18.88,0.0361,3.5872,356.4544
0,0.19,18.63,0.0361,3.5397,347.0769
0,0.19,18.38,0.0361,3.4922,337.8244
0,0.19,18.13,0.0361,3.4447,328.6969
0,0.19,17.88,0.0361,3.3972,319.6944
0,0.19,17.63,0.0361,3.3497,310.8169
0,0.19,17.38,0.0361,3.3022,302.0644
0,0.19,17.13,0.0361,3.2547,293.4369
